"Form_tx_Descricao"	"Form_tx_nomeCampo"	"Form_nr_Imprime"	"Form_nr_Altura"	"Form_nr_Largura"	"Form_nr_TamFonte"	"Form_nr_negrito"	"Form_tx_TipoDocumento"	"Empr_cd_empresa"
"CPF ou CGC"	"CPF_CGC"	-1	6.2000000000000002	2.5	8	1	"PR"	1
"Data do Vencimento"	"DataVenc"	-1	0.29999999999999999	7.4000000000000004	8	1	"PR"	1
"Ano Atual - 4 Digitos"	"DataAtual"	1	1.5	6.7999999999999998	8	1	"PR"	1
"Valor do Titulo"	"ValorTitulo"	-1	0.69999999999999996	17.600000000000001	7	1	"PR"	1
"Nome do Conjuge"	"NomeConjuge"	1	0	0	8	1	"PR"	1
"Impostos"	"deen_vl_valor"	-1	14	11	8	1	"NFS"	1
"Cidade "	"focl_tx_cidade"	-1	7	7	8	1	"NFS"	1
"Valor do Servico"	"itnf_vl_valor"	-1	5	2	8	1	"NFS"	1
"Numero da Nota"	"nofi_cd_notafiscal"	-1	1	15	8	1	"NFS"	1
"Data Registro Cont. - Extenso"	"DataRegCont"	1	0	0	8	1	"PR"	1
"Endereco do Comprador"	"EndCorrespondencia"	-1	6.6500000000000004	2.5	8	1	"PR"	1
"Ano Atual - 2 Digitos"	"Data Atual"	1	0	0	8	1	"PR"	1
"Data de Registro do Contrato"	"DataRegCont"	1	0	0	8	1	"PR"	1
"Numero da Fatura"	"NumFatura"	-1	1	1	8	1	"NFS"	1
"Data do Vencimento - Exenso"	"DataVenc"	1	1.5	1.2	8	1	"PR"	1
"Cidade/Estado do comprador"	"Municipio_UF"	1	6.6500000000000004	7	8	1	"PR"	1
"nome do Indexador"	"NomeIndexador"	1	0	0	8	1	"PR"	1
"Nome do Comprador"	"NomeCliente"	-1	5.7999999999999998	2.5	8	1	"PR"	1
"Fax"	"Fax"	1	0	0	8	1	"PR"	1
"Dia Atual"	"DataAtual"	1	1.5	1.5	8	1	"PR"	1
"Data da Venda - Extenso"	"DataVenda"	1	0	0	8	1	"PR"	1
"Ano Registro Cont. - 2 Digitos"	"DataRegCont"	1	0	0	8	1	"PR"	1
"Telefone Celular"	"TelCel"	1	0	0	8	1	"PR"	1
"Ano Registro Cont. - 4 Digitos"	"DataRegCont"	-1	6.2000000000000002	18	8	1	"PR"	1
"Telefone Residencial"	"TelRes"	-1	7.5	4.5	8	1	"PR"	1
"Ano da Venda - 2 Digitos"	"DataVenda"	1	0	0	8	1	"PR"	1
"Cidade/UF do Empreendimento"	"CidadeEstadoEmpreendimento"	1	0	0	8	1	"PR"	1
"Data Atual - Extenso"	"DataAtual"	1	0	0	8	1	"PR"	1
"Observação"	"Observacao"	1	8.4000000000000004	1	8	1	"PR"	1
"Juros do Financiamento"	"JurosFin"	-1	7.9000000000000004	1	8	1	"PR"	1
"Bairro"	"focl_tx_bairro"	-1	8	1	8	1	"NFS"	1
"cep"	"focl_tx_cep"	-1	9	1	8	1	"NFS"	1
"Discriminação "	"nofi_tx_historico"	-1	2	3.5	8	1	"NFS"	1
"Endereço"	"focl_tx_endereco"	-1	7	1	8	1	"NFS"	1
"Estado"	"focl_tx_estado"	-1	11	1	8	1	"NFS"	1
"Nome da Firma"	"focl_tx_razaosocial"	-1	1	1	11	1	"NFS"	1
"Valor Total por Extenso"	"ValorPorExtenso"	-1	17	5	8	1	"NFS"	1
"Quantidade dos Itens"	"Quantidade"	-1	5	2	8	1	"NFS"	1
"Valor do Titulo - Extenso"	"ValorTitulo"	-1	4.5	4.5	8	1	"PR"	1
"CPF do Conjuge"	"CPFConjuge"	1	0	0	8	1	"PR"	1
"Mes do Registro cont - extenso"	"DataRegCont"	-1	6.2000000000000002	14.699999999999999	8	1	"PR"	1
"CEP do Comprador"	"CEP"	-1	7.5	2.5	8	1	"PR"	1
"Data Atual"	"DataAtual"	1	0	0	8	1	"PR"	1
"Mes da Venda - Extenso"	"DataVenda"	1	0	0	8	1	"PR"	1
"Ano do Vencimento - 4 Digitos"	"DataVenc"	-1	1.5	6.7999999999999998	8	1	"PR"	1
"Código do Título"	"CodTitulo"	-1	0.29999999999999999	4.7999999999999998	7	1	"PR"	1
"Ano do Vencimento - 2 Digitos"	"DataVenc"	1	3	8	8	1	"PR"	1
